;Tipo;Titulo;Preço;Condição;Quartos;WC;Dimensão m2;Terreno m2;Localidade;Link;Data
0;Quintas e herdades para comprar: ;Quinta Com Moradia e Piscina - Idanha-a-Nova - Medelim;240 000;[];T3;[];13 750 m²;13 750 m²;Medelim, Idanha-a-Nova, Castelo Branco;https://www.imovirtual.com/pt/anuncio/quinta-com-moradia-e-piscina-idanha-a-nova-medelim-ID19LtA.html#58af5620ed;2023-03-19
1;Quintas e herdades para comprar: ;Terreno à venda na Fazenda das Figueiras, Branca, Coruche;598 000;Usado;T2;[];110 000 m²;110 000 m²;Branca, Coruche, Santarém;https://www.imovirtual.com/pt/anuncio/terreno-a-venda-na-fazenda-das-figueiras-branca-coruche-ID18qiM.html#58af5620ed;2023-03-19
2;Quintas e herdades para comprar: ;Quintinha em Soalhães, Marco de Canaveses;275 000;Usado;T3;[];3 466 m²;3 466 m²;Marco, Marco de Canaveses, Porto;https://www.imovirtual.com/pt/anuncio/quintinha-em-soalhaes-marco-de-canaveses-ID1aJ4S.html#58af5620ed;2023-03-19
3;Quintas e herdades para comprar: ;Magnifico retiro familiar em Monsaraz;2 200 000;Usado;T2;[];37 €/m²;59 594 m²;Monsaraz, Reguengos de Monsaraz, Évora;https://www.imovirtual.com/pt/anuncio/magnifico-retiro-familiar-em-monsaraz-ID13a61.html#58af5620ed;2023-03-19
4;Quintas e herdades para comprar: ;Quinta T8 para venda;750 000;[];T3;[];15 €/m²;51 250 m²;São Miguel de Machede, Évora;https://www.imovirtual.com/pt/anuncio/quinta-t8-para-venda-ID17Z0W.html#58af5620ed;2023-03-19
5;Quintas e herdades para comprar: ;Quinta em Mora - Alentejo;490 000;Usado;T5;[];78 m²;78 m²;Mora, Évora;https://www.imovirtual.com/pt/anuncio/quinta-em-mora-alentejo-ID17UkY.html#58af5620ed;2023-03-19
6;Quintas e herdades para comprar: ;Quinta de 1,3H com Moradia Térrea T3 e armazém em Alhos Vedros;350 000;Usado;T4;[];13 047 m²;13 047 m²;Alhos Vedros, Moita, Setúbal;https://www.imovirtual.com/pt/anuncio/quinta-de-1-3h-com-moradia-terrea-t3-e-armazem-em-alhos-vedros-ID1aIT6.html#58af5620ed;2023-03-19
7;Quintas e herdades para comprar: ;Quinta com 12.000m2 com 2 moradias em Poceirão/Palmela;3 500 000;Usado;T10 ou superior;[];12 000 m²;12 000 m²;Poceirão e Marateca, Palmela, Setúbal;https://www.imovirtual.com/pt/anuncio/quinta-com-12-000m2-com-2-moradias-em-poceirao-palmela-ID1aIKc.html#58af5620ed;2023-03-19
8;Quintas e herdades para comprar: ;Quinta com projecto aprovado, em Abrantes, Santarém;1 800 000;Renovado;T10 ou superior;[];214 €/m²;8 400 m²;Abrantes (São Vicente e São João) e Alferrarede, Abrantes, Santarém;https://www.imovirtual.com/pt/anuncio/quinta-com-projecto-aprovado-em-abrantes-santarem-ID1a4DH.html#58af5620ed;2023-03-19
9;Quintas e herdades para comprar: ;Quinta T11 para venda;1 100 000;[];T3;[];5 €/m²;200 325 m²;Alvito, Beja;https://www.imovirtual.com/pt/anuncio/quinta-t11-para-venda-ID17Dum.html#58af5620ed;2023-03-19
10;Quintas e herdades para comprar: ;Quinta Senhorial em Figueiró dos Vinhos;795 000;Usado;T7;[];151 €/m²;5 260 m²;Figueiró dos Vinhos e Bairradas, Figueiró dos Vinhos, Leiria;https://www.imovirtual.com/pt/anuncio/quinta-senhorial-em-figueiro-dos-vinhos-ID19Xjj.html#58af5620ed;2023-03-19
